company,date,price,change,volatility
AAPL,2025-07-16,209.92176818847656,0.0,0.0
AAPL,2025-07-17,209.78192138671875,-0.0006661853268702,0.00047106416215689516
AAPL,2025-07-18,210.9405975341797,0.0055232411820893,0.0033975235234671285
AAPL,2025-07-21,212.23912048339844,0.006155870251616,0.003583461977908266
AAPL,2025-07-22,214.15695190429688,0.0090361824744202,0.0041864058967813
AAPL,2025-07-23,213.9072265625,-0.0011660856188711,0.004487297982694211
AAPL,2025-07-24,213.5176696777344,-0.0018211487803653,0.004792521392281368
AAPL,2025-07-25,213.63754272460932,0.0005614197975087,0.004794358555537924
AAPL,2025-07-28,213.807357788086,0.0007948746335069,0.0043677347337803644
AAPL,2025-07-29,211.030502319336,-0.0129876515826095,0.0057350197529748995
AAPL,2025-07-30,208.81301879882807,-0.010507881543836,0.006491113835944358
AAPL,2025-07-31,207.334701538086,-0.0070796220908352,0.006312970177780612
AAPL,2025-08-01,202.1505889892578,-0.0250035932739211,0.009417704768666966
AAPL,2025-08-04,203.11949157714844,0.0047929743501371,0.010741613307912453
AAPL,2025-08-05,202.68995666503903,-0.0021146907604691,0.01111928827334768
AAPL,2025-08-06,213.0082550048828,0.0509068061862361,0.028292145734879544
AAPL,2025-08-07,219.7805633544922,0.0317936426898297,0.029689776615135444
AAPL,2025-08-08,229.0900115966797,0.0423579232853814,0.023241375670662902
AAPL,2025-08-11,227.17999267578125,-0.0083374168414688,0.02666269659076983
AAPL,2025-08-12,229.6499938964844,0.0108724416776797,0.024125918701493936
AAPL,2025-08-13,233.3300018310547,0.0160244199101919,0.019560595720831735
AAPL,2025-08-14,232.77999877929688,-0.0023571895917441,0.01973826011276654
AAPL,2025-08-15,231.58999633789065,-0.0051121335494743,0.010625401566960173
AMZN,2025-07-16,223.19000244140625,0.0,0.0
AMZN,2025-07-17,223.8800048828125,0.0030915472640284,0.008502870447127222
AMZN,2025-07-18,226.1300048828125,0.0100500265808809,0.00803680996892039
AMZN,2025-07-21,229.3000030517578,0.0140184765422355,0.00672181302097079
AMZN,2025-07-22,227.47000122070312,-0.0079808190436073,0.007796199828552501
AMZN,2025-07-23,228.2899932861328,0.0036048360708191,0.007818605145907162
AMZN,2025-07-24,232.22999572753903,0.0172587610376244,0.007029083943425152
AMZN,2025-07-25,231.44000244140625,-0.0034017710918776,0.007208215562623621
AMZN,2025-07-28,232.7899932861328,0.0058330056623134,0.007401851920113162
AMZN,2025-07-29,231.009994506836,-0.0076463715392998,0.004853008597070577
AMZN,2025-07-30,230.19000244140625,-0.0035495956232552,0.0048428495848281345
AMZN,2025-07-31,234.1100006103516,0.0170294023518382,0.017372464032078108
AMZN,2025-08-01,214.75,-0.0826961708593303,0.021139029203267146
AMZN,2025-08-04,211.6499938964844,-0.0144354184098515,0.022039802229099
AMZN,2025-08-05,213.75,0.0099220702295068,0.024419504826181954
AMZN,2025-08-06,222.3099975585937,0.0400467722039474,0.02491921105688027
AMZN,2025-08-07,223.1300048828125,0.0036885760119835,0.01573170947287923
AMZN,2025-08-08,222.69000244140625,-0.001971955504762,0.014080702913468678
AMZN,2025-08-11,221.3000030517578,-0.0062418580735978,0.006631139400382367
AMZN,2025-08-12,221.47000122070312,0.0007681796954406,0.008633218249917007
AMZN,2025-08-13,224.5599975585937,0.0139522116804042,0.011470242640384135
AMZN,2025-08-14,230.97999572753903,0.0285892333396118,0.011060188124689773
AMZN,2025-08-15,231.02999877929688,0.0002164821745722,0.011220787203842307
MSFT,2025-07-16,505.6199951171875,0.0,0.0
MSFT,2025-07-17,511.7000122070313,0.0120248747054287,0.00496803607458507
MSFT,2025-07-18,510.0499877929688,-0.0032245932669529,0.020835786296775734
MSFT,2025-07-21,510.05999755859375,1.96250678650145e-05,0.018016782804249922
MSFT,2025-07-22,505.2699890136719,-0.0093910688308224,0.015805654516217064
MSFT,2025-07-23,505.8699951171875,0.0011874960250199,0.0156772918223786
MSFT,2025-07-24,510.8800048828125,0.0099037496075733,0.04343230013843491
MSFT,2025-07-25,513.7100219726562,0.0055394947204734,0.04418736390469058
MSFT,2025-07-28,512.5,-0.0023554572052336,0.047408289812937314
MSFT,2025-07-29,512.5700073242188,0.0001365996570121,0.047141551745147704
MSFT,2025-07-30,513.239990234375,0.0013071051770152,0.046975716575328376
MSFT,2025-07-31,533.5,0.0394747294659816,0.029545626057607553
MSFT,2025-08-01,524.1099853515625,-0.0176007772229381,0.023747987354568772
MSFT,2025-08-04,535.6400146484375,0.0219992551546996,0.0204584448090414
MSFT,2025-08-05,527.75,-0.0147300695106135,0.020641537602756322
MSFT,2025-08-06,524.9400024414062,-0.0053244861366058,0.02858024780755988
MSFT,2025-08-07,520.8400268554688,-0.0078103698839281,0.021048154422770478
MSFT,2025-08-08,522.0399780273438,0.0023038766415852,0.014771386108667045
MSFT,2025-08-11,521.77001953125,-0.0005171222654515,0.015547563357784705
MSFT,2025-08-12,529.239990234375,0.0143165962464379,0.013398753198803987
MSFT,2025-08-13,520.5800170898438,-0.0163630362488219,0.013420577947742854
MSFT,2025-08-14,522.47998046875,0.003649704784151,0.017077699524454967
MSFT,2025-08-15,520.1699829101562,-0.0044212173574982,0.01734505597274054
TSLA,2025-07-16,321.6700134277344,0.0,0.0
TSLA,2025-07-17,319.4100036621094,-0.007025863995037,0.0021860540347531997
TSLA,2025-07-18,329.6499938964844,0.0320590780406724,0.005147509643267609
TSLA,2025-07-21,328.489990234375,-0.0035188948387289,0.006394302126875145
TSLA,2025-07-22,332.1099853515625,0.0110201078413521,0.00861979223862675
