company,date,price,change
AAPL,2025-07-21,212.23912048339844,0.0
AAPL,2025-07-22,214.15695190429688,0.0090361824744202
AAPL,2025-07-23,213.9072265625,-0.0011660856188711
AAPL,2025-07-24,213.5176696777344,-0.0018211487803653
AAPL,2025-07-25,213.63754272460935,0.0005614197975087
AAPL,2025-07-28,213.80735778808597,0.0007948746335069
AAPL,2025-07-29,211.03050231933597,-0.0129876515826095
AAPL,2025-07-30,208.81301879882807,-0.010507881543836
AAPL,2025-07-31,207.33470153808597,-0.0070796220908352
AAPL,2025-08-01,202.1505889892578,-0.0250035932739211
AAPL,2025-08-04,203.11949157714844,0.0047929743501371
AAPL,2025-08-05,202.68995666503903,-0.0021146907604691
AAPL,2025-08-06,213.0082550048828,0.0509068061862361
AAPL,2025-08-07,219.7805633544922,0.0317936426898297
AAPL,2025-08-08,229.0900115966797,0.0423579232853814
AAPL,2025-08-11,227.17999267578125,-0.0083374168414688
AAPL,2025-08-12,229.6499938964844,0.0108724416776797
AAPL,2025-08-13,233.3300018310547,0.0160244199101919
AAPL,2025-08-14,232.77999877929688,-0.0023571895917441
AAPL,2025-08-15,231.58999633789065,-0.0051121335494743
AAPL,2025-08-18,230.88999938964844,-0.0030225698834628
AAPL,2025-08-19,230.55999755859372,-0.0014292599589719
AAPL,2025-08-20,226.00999450683597,-0.0197345727790506
AAPL,2025-08-21,224.74009704589844,-0.0056187668324512
TSLA,2025-07-21,328.489990234375,0.0
TSLA,2025-07-22,332.1099853515625,0.0110201078413521
TSLA,2025-07-23,332.5599975585937,0.0013550095657464
TSLA,2025-07-24,305.29998779296875,-0.0819702007630128
TSLA,2025-07-25,316.0599975585937,0.0352440556693425
TSLA,2025-07-28,325.5899963378906,0.0301524990600245
TSLA,2025-07-29,321.20001220703125,-0.013483166498468
TSLA,2025-07-30,319.0400085449219,-0.0067247932130124
TSLA,2025-07-31,308.2699890136719,-0.0337575828823786
TSLA,2025-08-01,302.6300048828125,-0.0182955990912538
TSLA,2025-08-04,309.260009765625,0.0219079561703732
TSLA,2025-08-05,308.7200012207031,-0.0017461311772288
TSLA,2025-08-06,319.9100036621094,0.0362464446655872
TSLA,2025-08-07,322.2699890136719,0.0073770289285954
TSLA,2025-08-08,329.6499938964844,0.022900068682782
TSLA,2025-08-11,339.0299987792969,0.0284544366949328
TSLA,2025-08-12,340.8399963378906,0.0053387533997308
TSLA,2025-08-13,339.3800048828125,-0.0042835097722239
TSLA,2025-08-14,335.5799865722656,-0.0111969422354715
TSLA,2025-08-15,330.5599975585937,-0.0149591430196652
TSLA,2025-08-18,335.1600036621094,0.0139157978505861
TSLA,2025-08-19,329.3099975585937,-0.0174543681811547
TSLA,2025-08-20,323.8999938964844,-0.0164283006960539
TSLA,2025-08-21,320.2099914550781,-0.0113924128154986
AMZN,2025-07-21,229.3000030517578,0.0
AMZN,2025-07-22,227.47000122070312,-0.0079808190436073
AMZN,2025-07-23,228.2899932861328,0.0036048360708191
AMZN,2025-07-24,232.22999572753903,0.0172587610376244
AMZN,2025-07-25,231.44000244140625,-0.0034017710918776
AMZN,2025-07-28,232.7899932861328,0.0058330056623134
AMZN,2025-07-29,231.00999450683597,-0.0076463715392998
AMZN,2025-07-30,230.19000244140625,-0.0035495956232552
AMZN,2025-07-31,234.1100006103516,0.0170294023518382
AMZN,2025-08-01,214.75,-0.0826961708593303
AMZN,2025-08-04,211.6499938964844,-0.0144354184098515
AMZN,2025-08-05,213.75,0.0099220702295068
AMZN,2025-08-06,222.30999755859372,0.0400467722039474
AMZN,2025-08-07,223.1300048828125,0.0036885760119835
AMZN,2025-08-08,222.69000244140625,-0.001971955504762
AMZN,2025-08-11,221.3000030517578,-0.0062418580735978
AMZN,2025-08-12,221.47000122070312,0.0007681796954406
AMZN,2025-08-13,224.55999755859372,0.0139522116804042
AMZN,2025-08-14,230.97999572753903,0.0285892333396118
AMZN,2025-08-15,231.02999877929688,0.0002164821745722
AMZN,2025-08-18,231.4900054931641,0.0019911124801876
AMZN,2025-08-19,228.00999450683597,-0.0150330938863401
AMZN,2025-08-20,223.80999755859372,-0.0184202317855688
AMZN,2025-08-21,221.47999572753903,-0.010410624442479
MSFT,2025-07-21,510.05999755859375,0.0
MSFT,2025-07-22,505.2699890136719,-0.0093910688308224
MSFT,2025-07-23,505.8699951171875,0.0011874960250199
MSFT,2025-07-24,510.8800048828125,0.0099037496075733
MSFT,2025-07-25,513.7100219726562,0.0055394947204734
MSFT,2025-07-28,512.5,-0.0023554572052336
MSFT,2025-07-29,512.5700073242188,0.0001365996570121
MSFT,2025-07-30,513.239990234375,0.0013071051770152
MSFT,2025-07-31,533.5,0.0394747294659816
MSFT,2025-08-01,524.1099853515625,-0.0176007772229381
MSFT,2025-08-04,535.6400146484375,0.0219992551546996
MSFT,2025-08-05,527.75,-0.0147300695106135
MSFT,2025-08-06,524.9400024414062,-0.0053244861366058
MSFT,2025-08-07,520.8400268554688,-0.0078103698839281
MSFT,2025-08-08,522.0399780273438,0.0023038766415852
MSFT,2025-08-11,521.77001953125,-0.0005171222654515
MSFT,2025-08-12,529.239990234375,0.0143165962464379
MSFT,2025-08-13,520.5800170898438,-0.0163630362488219
MSFT,2025-08-14,522.47998046875,0.003649704784151
MSFT,2025-08-15,520.1699829101562,-0.0044212173574982
MSFT,2025-08-18,517.0999755859375,-0.0059019309554219
MSFT,2025-08-19,509.7699890136719,-0.0141751825920313
MSFT,2025-08-20,505.7200012207031,-0.0079447356263652
MSFT,2025-08-21,504.9100036621094,-0.0016016719857601
