company,date,price,change,volatility,gdp
TSLA,2025-08-04,309.260009765625,0.0219079561703732,0.037884807519143,23685.287
AMZN,2025-08-04,211.6499938964844,-0.0144354184098515,0.022039802229099,23685.287
WMT,2025-08-04,99.3579330444336,0.0111686284862413,0.0070191465184374,23685.287
AAPL,2025-08-04,203.11949157714844,0.0047929743501371,0.0107416133079124,23685.287
TSLA,2025-08-05,308.7200012207031,-0.0017461311772288,0.0398775360797167,23685.287
AMZN,2025-08-05,213.75,0.0099220702295068,0.0244195048261819,23685.287
AAPL,2025-08-05,202.68995666503903,-0.0021146907604691,0.0111192882733476,23685.287
WMT,2025-08-05,99.0785903930664,-0.0028114780854213,0.0072837411679611,23685.287
MSFT,2025-08-05,527.75,-0.0147300695106135,0.0206415376027563,23685.287
AAPL,2025-08-06,213.0082550048828,0.0509068061862361,0.0282921457348795,23685.287
AMZN,2025-08-06,222.3099975585937,0.0400467722039474,0.0249192110568802,23685.287
WMT,2025-08-06,103.11915588378906,0.0407814188180599,0.0170155726731871,23685.287
MSFT,2025-08-06,524.9400024414062,-0.0053244861366058,0.0285802478075598,23685.287
TSLA,2025-08-06,319.9100036621094,0.0362464446655872,0.0470574815400298,23685.287
AAPL,2025-08-07,219.7805633544922,0.0317936426898297,0.0296897766151354,23685.287
AMZN,2025-08-07,223.1300048828125,0.0036885760119835,0.0157317094728792,23685.287
WMT,2025-08-07,102.87971496582033,-0.0023219829130349,0.017937395398776,23685.287
MSFT,2025-08-07,520.8400268554688,-0.0078103698839281,0.0210481544227704,23685.287
TSLA,2025-08-07,322.2699890136719,0.0073770289285954,0.0457843704453029,23685.287
WMT,2025-08-08,103.48829650878906,0.0059154668456355,0.0178886644193929,23685.287
AAPL,2025-08-08,229.0900115966797,0.0423579232853814,0.0232413756706629,23685.287
TSLA,2025-08-08,329.6499938964844,0.022900068682782,0.0203135040321756,23685.287
MSFT,2025-08-08,522.0399780273438,0.0023038766415852,0.014771386108667,23685.287
AMZN,2025-08-08,222.69000244140625,-0.001971955504762,0.0140807029134686,23685.287
WMT,2025-08-11,103.68782806396484,0.0019280591323564,0.0182813324317704,23685.287
MSFT,2025-08-11,521.77001953125,-0.0005171222654515,0.0155475633577847,23685.287
AAPL,2025-08-11,227.17999267578125,-0.0083374168414688,0.0266626965907698,23685.287
AMZN,2025-08-11,221.3000030517578,-0.0062418580735978,0.0066311394003823,23685.287
TSLA,2025-08-11,339.0299987792969,0.0284544366949328,0.0183413616632665,23685.287
TSLA,2025-08-12,340.8399963378906,0.0053387533997308,0.0186909094511536,23685.287
WMT,2025-08-12,103.37854766845705,-0.0029828032979629,0.018308439126736,23685.287
MSFT,2025-08-12,529.239990234375,0.0143165962464379,0.0133987531988039,23685.287
AAPL,2025-08-12,229.6499938964844,0.0108724416776797,0.0241259187014939,23685.287
AMZN,2025-08-12,221.47000122070312,0.0007681796954406,0.008633218249917,23685.287
WMT,2025-08-13,100.75466918945312,-0.0253812665991293,0.0121742696695033,23685.287
MSFT,2025-08-13,520.5800170898438,-0.0163630362488219,0.0134205779477428,23685.287
AMZN,2025-08-13,224.5599975585937,0.0139522116804042,0.0114702426403841,23685.287
AAPL,2025-08-13,233.3300018310547,0.0160244199101919,0.0195605957208317,23685.287
TSLA,2025-08-13,339.3800048828125,-0.0042835097722239,0.0075980437005098,23685.287
MSFT,2025-08-14,522.47998046875,0.003649704784151,0.0170776995244549,23685.287
WMT,2025-08-14,100.61499786376952,-0.0013862516427994,0.0122245258084831,23685.287
AAPL,2025-08-14,232.77999877929688,-0.0023571895917441,0.0197382601127665,23685.287
TSLA,2025-08-14,335.5799865722656,-0.0111969422354715,0.0142223836136528,23685.287
AMZN,2025-08-14,230.97999572753903,0.0285892333396118,0.0110601881246897,23685.287
AMZN,2025-08-15,231.02999877929688,0.0002164821745722,0.0112207872038423,23685.287
MSFT,2025-08-15,520.1699829101562,-0.0044212173574982,0.0173450559727405,23685.287
AAPL,2025-08-15,231.58999633789065,-0.0051121335494743,0.0106254015669601,23685.287
TSLA,2025-08-15,330.5599975585937,-0.0149591430196652,0.0139066817442893,23685.287
WMT,2025-08-15,100.0,-0.0061123875846245,0.0107911318138093,23685.287
